,Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
1206,Nepal,2015,4.812436580657959,7.9764404296875,0.7476118803024292,60.20000076293945,0.7634472250938416,0.22741396725177765,0.8235083818435669
1219,Netherlands,2015,7.324437141418457,10.882254600524902,0.8790104389190674,72.0,0.9039787650108337,0.2614469826221466,0.411822110414505
1233,New Zealand,2015,7.418120861053467,10.608246803283691,0.9873434901237488,72.5999984741211,0.9417842626571655,0.32943692803382874,0.18588870763778687
1248,Nicaragua,2015,5.924112796783447,8.635926246643066,0.826908528804779,66.5999984741211,0.8092591762542725,0.07717341184616089,0.7279983758926392
1262,Niger,2015,3.6714537143707275,7.030498027801514,0.713019609451294,52.0,0.7281283140182495,-0.03214083984494209,0.7025496959686279
1274,Nigeria,2015,4.932914733886719,8.615185737609863,0.8116476535797119,48.5,0.6804702877998352,-0.03535808250308037,0.926109254360199
1283,North Cyprus,2015,5.842550277709961,9.443266480674833,0.7913827300071716,63.77080735620463,0.7853528261184692,0.008732767582596964,0.6591802835464478
1294,North Macedonia,2015,4.975589752197266,9.612897872924805,0.7663681507110596,65.14520263671875,0.660318911075592,-0.046561792492866516,0.8241789937019348
1304,Norway,2015,7.603433609008789,11.033207893371582,0.9468339681625366,72.9000015258789,0.9476205110549927,0.256901353597641,0.2988143563270569
1320,Pakistan,2015,4.823194980621338,8.361321449279785,0.5617201328277588,57.29999923706055,0.5865462422370911,0.08540236949920654,0.7166411876678467
1334,Palestinian Territories,2015,4.695239067077637,8.480025291442871,0.7661012411117554,63.77080735620463,0.5560409426689148,-0.15281307697296143,0.7743013501167297
1348,Panama,2015,6.605550289154053,10.255423545837402,0.8826150298118591,69.30000305175781,0.8466691970825195,-0.006957769859582186,0.809942901134491
1362,Paraguay,2015,5.5597243309021,9.376697540283203,0.9141990542411804,65.0999984741211,0.806124746799469,-0.007561531849205494,0.8628882765769958
1375,Peru,2015,5.577263355255127,9.401808738708496,0.7984183430671692,67.19999694824219,0.8022690415382385,-0.0899965763092041,0.883730411529541
1389,Philippines,2015,5.547489166259766,8.895648002624512,0.8535885810852051,61.599998474121094,0.9115335941314697,-0.0511600486934185,0.7551915645599365
1403,Poland,2015,6.007021903991699,10.235350608825684,0.8930904269218445,68.0999984741211,0.7934621572494507,-0.09301692992448807,0.8100963234901428
1416,Portugal,2015,5.08086633682251,10.346818923950195,0.866213858127594,71.80000305175781,0.8004403114318848,-0.16310612857341766,0.9410507678985596
1426,Qatar,2015,6.3745293617248535,11.485614776611328,0.8183104482300043,68.30000305175781,0.7466229984157259,0.008732767582596964,0.7445489010298807
1435,Romania,2015,5.777491092681885,10.08348560333252,0.7869673371315002,66.30000305175781,0.7958477139472961,-0.1412583291530609,0.9616509675979614
1449,Russia,2015,5.995538711547852,10.149029731750488,0.9243632555007935,63.099998474121094,0.6854547262191772,-0.17106080055236816,0.9134182929992676
1462,Rwanda,2015,3.4831089973449707,7.5436811447143555,0.6781435608863831,59.29999923706055,0.9078923463821411,0.025018684566020966,0.09460446983575821
1476,Saudi Arabia,2015,6.345491886138916,10.797966957092285,0.8197497129440308,65.4000015258789,0.8202072381973267,-0.04480266198515892,0.7445489010298807
1491,Senegal,2015,4.617000579833984,7.99512243270874,0.7015345096588135,58.400001525878906,0.7195332646369934,-0.11110300570726395,0.7654901742935181
1503,Serbia,2015,5.317685127258301,9.649492263793945,0.8162510395050049,67.0,0.5458920001983643,-0.06208997592329979,0.859358012676239
1516,Sierra Leone,2015,4.908617973327637,7.347185134887695,0.6105937361717224,46.0,0.6242961287498474,0.05044646933674812,0.824828028678894
1529,Singapore,2015,6.619524955749512,11.40049934387207,0.8664366602897644,75.9000015258789,0.8868908882141113,0.14967015385627747,0.09894388169050217
1540,Slovakia,2015,6.162004470825195,10.290573120117188,0.9434536695480347,68.0,0.587157666683197,-0.12785226106643677,0.9275451302528381
1553,Slovenia,2015,5.740642070770264,10.432632446289062,0.9011637568473816,70.19999694824219,0.8960072994232178,0.007825181819498539,0.8921979069709778
1560,Somalia,2015,5.353644847869873,9.443266480674833,0.5992810726165771,50.099998474121094,0.9678692817687988,0.008732767582596964,0.41023576259613037
1575,South Africa,2015,4.887325763702393,9.460323333740234,0.8980962634086609,55.29999923706055,0.8624494075775146,-0.12704870104789734,0.8526947498321533
1590,South Korea,2015,5.780211448669434,10.567980766296387,0.7683506011962891,72.69999694824219,0.6158487796783447,-0.03557406738400459,0.840721607208252
1597,South Sudan,2015,4.070771217346191,9.443266480674833,0.5847813487052917,50.20000076293945,0.5116310119628906,0.008732767582596964,0.7096059322357178
1609,Spain,2015,6.3806633949279785,10.530786514282227,0.956471860408783,73.5,0.732000470161438,-0.0723392590880394,0.8216649293899536
1624,Sri Lanka,2015,4.611606597900391,9.383496284484863,0.8625000715255737,66.5999984741211,0.9020747542381287,0.3191469609737396,0.8594709634780884
1646,Sweden,2015,7.288922309875488,10.853300094604492,0.9294599890708923,72.30000305175781,0.9350720643997192,0.21117615699768066,0.2319641411304474
1656,Switzerland,2015,7.572136878967285,11.099858283996582,0.9383337497711182,73.19999694824219,0.9278024435043335,0.10892389714717865,0.20953351259231567
1668,Syria,2015,3.4619128704071045,8.441536903381348,0.46391287446022034,55.20000076293945,0.44827085733413696,0.044834915548563004,0.685236930847168
1676,Taiwan Province of China,2015,6.450088024139404,10.842317581176758,0.8853888511657715,63.77080735620463,0.7008104920387268,0.018658051267266273,0.8571948409080505
1691,Tajikistan,2015,5.124210834503174,7.945079326629639,0.8439325094223022,63.20000076293945,0.8465421199798584,0.022057460620999336,0.7416896224021912
1706,Tanzania,2015,3.660597324371338,7.763930320739746,0.7902625799179077,56.0,0.7586846947669983,0.14869466423988342,0.9064226150512695
1721,Thailand,2015,6.201762676239014,9.699014663696289,0.8663245439529419,66.5999984741211,0.8849165439605713,0.3159483075141907,0.9136511087417603
1731,Togo,2015,3.7683019638061523,7.277405738830566,0.4785934090614319,53.5,0.7715772390365601,-0.06868194788694382,0.73326176404953
1747,Tunisia,2015,5.1316118240356445,9.261008262634277,0.609470009803772,66.0,0.7113733887672424,-0.22603139281272888,0.8148249983787537
1762,Turkey,2015,5.51446533203125,10.166447639465332,0.8512246012687683,65.5999984741211,0.6531967520713806,-0.016285767778754234,0.8060762286186218
1773,Turkmenistan,2015,5.791460037231445,9.472206115722656,0.9601584672927856,61.0,0.7013583779335022,0.09277527034282684,0.7445489010298807
1787,Uganda,2015,4.237686634063721,7.626735210418701,0.7466331124305725,54.5,0.757835328578949,0.1350565254688263,0.8727403879165649
1802,Ukraine,2015,3.964542865753174,9.326973915100098,0.909439742565155,63.70000076293945,0.43059203028678894,-0.03340182453393936,0.9524727463722229
1815,United Arab Emirates,2015,6.568397521972656,11.085502624511719,0.8241366744041443,66.5,0.9150362014770508,0.20111078023910522,0.7445489010298807
1830,United Kingdom,2015,6.515445232391357,10.712478637695312,0.9359857439994812,71.69999694824219,0.8329260945320129,0.3001050055027008,0.45613372325897217
1845,United States,2015,6.863946914672852,10.97739315032959,0.9035710692405701,68.5999984741211,0.8487534523010254,0.21945954859256744,0.6975426077842712
1860,Uruguay,2015,6.628080368041992,9.932482719421387,0.8914934992790222,68.69999694824219,0.9168796539306641,-0.032266486436128616,0.6734756827354431
1874,Uzbekistan,2015,5.97236442565918,8.71386432647705,0.9682252407073975,64.19999694824219,0.9799371361732483,0.37466803193092346,0.4709169268608093
1888,Venezuela,2015,5.568800449371338,9.001046180725098,0.9110868573188782,65.9000015258789,0.5121593475341797,-0.11693695187568665,0.813096821308136
1903,Vietnam,2015,5.076315402984619,8.770013809204102,0.8486766815185547,67.30000305175781,0.7466229984157259,0.08550644665956497,0.7445489010298807
1915,Yemen,2015,2.9826738834381104,7.857512474060059,0.6686834692955017,54.29999923706055,0.6099807620048523,-0.13938328623771667,0.8290975689888
1928,Zambia,2015,4.843164443969727,8.144257545471191,0.6914834976196289,53.79999923706055,0.7586536407470703,-0.03881865739822388,0.8710195422172546
1943,Zimbabwe,2015,3.7031912803649902,7.992339134216309,0.7358003258705139,53.79999923706055,0.6671932935714722,-0.12317058444023132,0.8104573488235474
