,Country name,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
127,Bangladesh,2015,4.633473873138428,8.216117858886719,0.6014682650566101,62.79999923706055,0.8147962689399719,-0.06844885647296906,0.7206009030342102
128,Bangladesh,2016,4.556140899658203,8.273923873901367,0.6491169333457947,63.29999923706055,0.8747004866600037,-0.08873125165700912,0.6878536343574524
137,Belarus,2010,5.525923252105713,9.757791519165039,0.9180001616477966,62.29999923706055,0.7000644207000732,-0.1625654548406601,0.7061206102371216
142,Belarus,2015,5.718907833099365,9.815067291259766,0.9240726232528687,65.19999694824219,0.6227534413337708,-0.09133758395910263,0.6686781644821167
143,Belarus,2016,5.177899360656738,9.788223266601562,0.926551103591919,65.5,0.6582288146018982,-0.1254873126745224,0.6640551686286926
147,Belgium,2005,7.2622904777526855,10.74460506439209,0.9348747134208679,69.9000015258789,0.9238430261611938,0.008732767582596964,0.5975544452667236
150,Belgium,2010,6.853514194488525,10.779181480407715,0.9305701851844788,70.80000305175781,0.8069302439689636,0.02229495719075203,0.6973655819892883
155,Belgium,2015,6.904219150543213,10.809558868408203,0.8852088451385498,71.4000015258789,0.8694749474525452,0.06221495568752289,0.4687846302986145
156,Belgium,2016,6.948936462402344,10.819169998168945,0.9289640784263611,71.5999984741211,0.865759015083313,-0.05582595616579056,0.4966591000556946
169,Benin,2015,3.624664306640625,7.988194465637207,0.43438851833343506,53.099998474121094,0.7333835959434509,-0.026637520641088486,0.850098192691803
170,Benin,2016,4.007357597351074,7.993431568145752,0.49281585216522217,53.5,0.779795229434967,-0.0650717094540596,0.837715744972229
177,Bhutan,2015,5.082128524780273,9.218923568725586,0.8475744128227234,60.20000076293945,0.8301015496253967,0.2774123549461365,0.6339557766914368
182,Bolivia,2010,5.780620098114014,8.79676342010498,0.8071855902671814,61.0,0.7033410668373108,-0.06846834719181061,0.7813425064086914
187,Bolivia,2015,5.834329128265381,8.985246658325195,0.8287057876586914,62.70000076293945,0.8836250901222229,-0.02951531484723091,0.862373948097229
188,Bolivia,2016,5.769723415374756,9.012200355529785,0.7959587574005127,63.0,0.8817487359046936,-0.04674965888261795,0.852592945098877
195,Bosnia and Herzegovina,2010,4.668517589569092,9.312170028686523,0.7727537155151367,66.69999694824219,0.36496689915657043,-0.12780308723449707,0.9330300688743591
200,Bosnia and Herzegovina,2015,5.117177963256836,9.456695556640625,0.6557236313819885,66.9000015258789,0.630698025226593,-0.05457206070423126,0.9598536491394043
201,Bosnia and Herzegovina,2016,5.180865287780762,9.500313758850098,0.8077051043510437,67.19999694824219,0.6334537267684937,0.1338658183813095,0.9573119878768921
208,Botswana,2010,3.5530202388763428,9.555797576904297,0.8656247854232788,52.900001525878906,0.826219379901886,-0.14286021888256073,0.8139854073524475
213,Botswana,2015,3.761964797973633,9.72402286529541,0.8156560659408569,56.79999923706055,0.8571689128875732,-0.11625391244888306,0.8602929711341858
214,Botswana,2016,3.498936653137207,9.747831344604492,0.7683027982711792,57.5,0.8516948819160461,-0.2527235150337219,0.7291718125343323
218,Brazil,2005,6.636771202087402,9.438417434692383,0.8829229474067688,63.29999923706055,0.8821861147880554,0.008732767582596964,0.744994044303894
222,Brazil,2010,6.837331295013428,9.606988906860352,0.9055281281471252,64.5,0.8059492707252502,-0.053968582302331924,0.6560360789299011
227,Brazil,2015,6.546896934509277,9.619746208190918,0.9066931009292603,65.80000305175781,0.7989352941513062,-0.015561512671411037,0.7713390588760376
