,country,CPI 2015 Score,lu,lpc,lsc,lhc,yr_sch,"Adolescent fertility rate (births per 1,000 women ages 15-19)","Employers, female (% of female employment)",Law prohibits discr employ b gender,"Labor force, female (% of total labor force)",The law prohibits disc access credit b gender,The government administers of maternity leave benefits,There is paid parental leave,legislation addressing domestic violence,Score(%)_hs,Score(%)_d,Score(%)_v,Value,First Tooltip,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
31,Gabon,34,8.6,16.37,27.91,8.06,9.379,100.2026,1.39999997615814,1,40.4292248631871,0,1,0,0,24,51,10,25.71,7.3,2015,4.661012649536133,9.649173736572266,0.7558619976043701,58.20000076293945,0.6713007092475891,-0.1935608983039856,0.8667774796485901
32,Germany,81,2.35,5.78,54.39,13.82,12.286,8.0822,2.50999999046326,1,46.2716558227356,1,0,1,1,47,61,32,47.14,13.8,2015,7.037137508392334,10.843671798706055,0.925923228263855,71.30000305175781,0.8894288539886475,0.1776224672794342,0.4121682941913605
33,Ghana,47,21.03,8.37,23.88,2.42,8.126,68.677,4.26000022888184,1,46.3114646286927,0,0,0,1,35,56,27,55.71,5.3,2015,3.9859161376953125,8.449007034301758,0.6874485611915588,56.0,0.8520161509513855,-0.03834652155637741,0.9454361200332642
34,Greece,46,0.8,17.14,33.66,23.91,11.145,7.7494,4.38000011444092,1,44.0810923732333,1,1,0,1,17,38,7,28.57,4.8,2015,5.622519016265869,10.258951187133789,0.8348246812820435,71.80000305175781,0.5317363142967224,-0.27197811007499695,0.8239596486091614
35,Guatemala,28,18.32,23.77,18.07,1.86,5.809,73.9864,2.5699999332428,0,33.0010334186808,0,1,0,1,49,68,41,38.57,3.1,2015,6.464986801147461,9.002745628356934,0.8228374719619751,63.900001525878906,0.8686397671699524,0.0512973815202713,0.8216549158096313
36,Guinea,25,37.23,41.01,9.4,0.56,4.646,139.5256,0.579999983310699,1,54.3685856375491,0,0,0,0,31,54,20,34.29,6.4,2015,3.5046935081481934,7.644764423370361,0.5788596272468567,51.099998474121094,0.6659530401229858,0.006546582095324993,0.7621520161628723
37,Guinea,25,37.23,41.01,9.4,0.56,4.646,139.5256,0.579999983310699,1,54.3685856375491,0,0,0,0,31,54,20,34.29,6.4,2015,3.5046935081481934,7.644764423370361,0.5788596272468567,51.099998474121094,0.6659530401229858,0.006546582095324993,0.7621520161628723
38,Haiti,17,18.19,5.34,20.55,0.73,5.318,54.032,0.349999994039536,1,48.0481830850378,0,0,0,0,36,40,24,37.14,11.7,2015,3.5697624683380127,7.47552490234375,0.5643196702003479,55.099998474121094,0.39829549193382263,0.30593231320381165,0.7774039506912231
39,Honduras,31,9.92,26.95,17.11,6.72,7.037,75.7848,4.55000019073486,1,36.7602371121149,1,0,0,1,36,50,33,47.14,2.8,2015,4.8454365730285645,8.57232666015625,0.7723755240440369,66.5999984741211,0.5340576767921448,-0.09682408720254898,0.8480827212333679
40,Hungary,51,0.38,2.8,55.05,18.15,12.0,22.5134,3.08999991416931,1,45.7955015539889,1,1,1,1,22,35,11,48.57,20.3,2015,5.344383239746094,10.223447799682617,0.8587338328361511,66.4000015258789,0.5577213764190674,-0.1978226602077484,0.9075303077697754
